11,16,-3,
9,
0,
1,
9,
0,
-65,
5,
-1,
-2,
0,
-4,
6,
0,
2
-11,
3,
0,
-1,
-1,
-7,
13,
0,
-69,
-11,
4,
1,
-1,
-5,
4,
1,
18,
-1,
-1,
0,
4,
134,
-5,
-5,
1,
29,
5,
0,
4,
0,
2,
-2,
0,
1,
2,
8,
21,
12,
2,
